run_id,window_index,window_start,window_end,ticker,source_query,status,article_id,published_at,title,source,body_extraction_status,market_signal,event_type,expectation_surprise,final_signal_score,signal_strength,return_20d,excess_return_20d,raw_thesis_match,excess_thesis_match,is_duplicate,data_quality_score,data_quality_notes,what_went_wrong
20260624T142636Z,1,2025-11-21,2025-11-28,RXRX,Reuters,empty,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,No RSS entries found
20260624T142636Z,1,2025-11-21,2025-11-28,RXRX,CNBC,empty,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,No RSS entries found
20260624T142636Z,1,2025-11-21,2025-11-28,RKLB,Reuters,empty,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,No RSS entries found
20260624T142636Z,1,2025-11-21,2025-11-28,RKLB,CNBC,skipped,,,Cramer's Lightning Round: Buy Spotify - CNBC,Historical CNBC,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,Skipped because ticker/company was not detected
20260624T142636Z,1,2025-11-21,2025-11-28,ASTS,Reuters,empty,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,No RSS entries found
20260624T142636Z,1,2025-11-21,2025-11-28,ASTS,CNBC,empty,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,No RSS entries found
20260624T142636Z,1,2025-11-21,2025-11-28,SOUN,Reuters,empty,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,No RSS entries found
20260624T142636Z,1,2025-11-21,2025-11-28,SOUN,CNBC,empty,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,No RSS entries found
20260624T142636Z,1,2025-11-21,2025-11-28,BBAI,Reuters,empty,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,No RSS entries found
20260624T142636Z,1,2025-11-21,2025-11-28,BBAI,CNBC,empty,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,No RSS entries found
20260624T142636Z,1,2025-11-21,2025-11-28,UUUU,Reuters,skipped,,,China warns it will 'crush' foreign efforts to interfere over Taiwan - Reuters,Historical Reuters,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,Skipped because ticker/company was not detected
20260624T142636Z,1,2025-11-21,2025-11-28,UUUU,Reuters,skipped,,,"US, China held maritime security talks in Hawaii, Chinese navy says - Reuters",Historical Reuters,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,Skipped because ticker/company was not detected
20260624T142636Z,1,2025-11-21,2025-11-28,UUUU,Reuters,skipped,,,Russia's Ryabkov says potential Putin-Trump summit is on the agenda - Reuters,Historical Reuters,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,Skipped because ticker/company was not detected
20260624T142636Z,1,2025-11-21,2025-11-28,UUUU,Reuters,skipped,,,EU Parliament pushes for age limits on social media to safeguard minors - Reuters,Historical Reuters,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,Skipped because ticker/company was not detected
