run_id,window_index,window_start,window_end,ticker,source_query,status,article_id,published_at,title,source,body_extraction_status,market_signal,event_type,expectation_surprise,final_signal_score,signal_strength,return_20d,excess_return_20d,raw_thesis_match,excess_thesis_match,is_duplicate,data_quality_score,data_quality_notes,what_went_wrong
20260624T144751Z,1,2025-11-21,2025-11-28,RXRX,Reuters,error,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,RSS feed failed: The read operation timed out
20260624T144751Z,1,2025-11-21,2025-11-28,RXRX,CNBC,error,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,RSS feed failed: The read operation timed out
20260624T144751Z,1,2025-11-21,2025-11-28,RXRX,Yahoo Finance,error,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,RSS feed failed: The read operation timed out
20260624T144751Z,1,2025-11-21,2025-11-28,RXRX,GlobeNewswire,error,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,RSS feed failed: The read operation timed out
20260624T144751Z,1,2025-11-21,2025-11-28,RXRX,Business Wire,error,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,RSS feed failed: The read operation timed out
20260624T144751Z,1,2025-11-21,2025-11-28,RXRX,PR Newswire,error,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,RSS feed failed: The read operation timed out
20260624T144751Z,1,2025-11-21,2025-11-28,RXRX,Accesswire,error,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,RSS feed failed: The read operation timed out
20260624T144751Z,1,2025-11-21,2025-11-28,RXRX,Seeking Alpha,error,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,RSS feed failed: The read operation timed out
20260624T144751Z,1,2025-11-21,2025-11-28,RKLB,Reuters,error,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,RSS feed failed: The read operation timed out
20260624T144751Z,1,2025-11-21,2025-11-28,RKLB,CNBC,error,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,RSS feed failed: The read operation timed out
20260624T144751Z,1,2025-11-21,2025-11-28,RKLB,Yahoo Finance,error,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,RSS feed failed: The read operation timed out
20260624T144751Z,1,2025-11-21,2025-11-28,RKLB,GlobeNewswire,error,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,RSS feed failed: The read operation timed out
20260624T144751Z,1,2025-11-21,2025-11-28,RKLB,Business Wire,error,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,RSS feed failed: The read operation timed out
20260624T144751Z,1,2025-11-21,2025-11-28,RKLB,PR Newswire,error,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,RSS feed failed: The read operation timed out
20260624T144751Z,1,2025-11-21,2025-11-28,RKLB,Accesswire,error,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,RSS feed failed: The read operation timed out
20260624T144751Z,1,2025-11-21,2025-11-28,RKLB,Seeking Alpha,error,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,RSS feed failed: The read operation timed out
20260624T144751Z,1,2025-11-21,2025-11-28,ASTS,Reuters,error,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,RSS feed failed: The read operation timed out
20260624T144751Z,1,2025-11-21,2025-11-28,ASTS,CNBC,error,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,RSS feed failed: The read operation timed out
20260624T144751Z,1,2025-11-21,2025-11-28,ASTS,Yahoo Finance,error,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,RSS feed failed: The read operation timed out
20260624T144751Z,1,2025-11-21,2025-11-28,ASTS,GlobeNewswire,error,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,RSS feed failed: The read operation timed out
20260624T144751Z,1,2025-11-21,2025-11-28,ASTS,Business Wire,error,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,RSS feed failed: The read operation timed out
20260624T144751Z,1,2025-11-21,2025-11-28,ASTS,PR Newswire,error,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,RSS feed failed: The read operation timed out
20260624T144751Z,1,2025-11-21,2025-11-28,ASTS,Accesswire,error,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,RSS feed failed: The read operation timed out
20260624T144751Z,1,2025-11-21,2025-11-28,ASTS,Seeking Alpha,error,,,,,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,RSS feed failed: The read operation timed out
20260624T144751Z,1,2025-11-21,2025-11-28,SOUN,Reuters,skipped,,,,Reuters,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,Skipped because Reuters reached source failure cap (3)
20260624T144751Z,1,2025-11-21,2025-11-28,SOUN,CNBC,skipped,,,,CNBC,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,Skipped because CNBC reached source failure cap (3)
20260624T144751Z,1,2025-11-21,2025-11-28,SOUN,Yahoo Finance,skipped,,,,Yahoo Finance,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,Skipped because Yahoo Finance reached source failure cap (3)
20260624T144751Z,1,2025-11-21,2025-11-28,SOUN,GlobeNewswire,skipped,,,,GlobeNewswire,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,Skipped because GlobeNewswire reached source failure cap (3)
20260624T144751Z,1,2025-11-21,2025-11-28,SOUN,Business Wire,skipped,,,,Business Wire,,,,,,,,,,,0,25,missing body | missing published_at | weak or unknown source | low ticker relevance | uncertain classification | return data unavailable,Skipped because Business Wire reached source failure cap (3)
